unit_number,time_stamp,status,operational_setting_1,operational_setting_2,operational_setting_3,sensor_measurement_1,sensor_measurement_2,sensor_measurement_3,sensor_measurement_4,sensor_measurement_5,sensor_measurement_6,sensor_measurement_7,sensor_measurement_8,sensor_measurement_9,sensor_measurement_10,sensor_measurement_11,sensor_measurement_12,sensor_measurement_13,sensor_measurement_14,sensor_measurement_15,sensor_measurement_16,sensor_measurement_17,sensor_measurement_18,sensor_measurement_19,sensor_measurement_20,sensor_measurement_21
unit_6,9/23/2016 12:00,0,-0.0003,0,High,518.67,642.97,1592.46,1413.25,14.62,21.47,559.56,2388.2,9091.63,1.31,47.67,527.84,2388.17,,,0.03,394,2388,100,39.25,23.4733
unit_4,7/23/2016 12:00,0,0.0028,0.0004,High,518.67,642.57,1588.36,1402.24,14.62,21.58,,2388.04,9065.92,1.3,47.36,524.34,2388.1,8145.88,8.3493,0.03,,2388,100,39.05,23.3774
unit_10,5/16/2018 12:00,0,20.0051,0.7,High,491.19,607.25,1486.58,1253.56,9.35,13.61,,2324.23,8745.12,1.08,44.56,318.68,,8085.75,9.0849,0.02,365,2324,100,24.93,14.8489
unit_7,9/6/2015 12:00,0,0.0014,-0.0001,High,518.67,642.88,1592.37,1411.73,14.62,21.58,561.18,2388.27,9085.45,,47.77,528.74,2388.27,8162.89,8.2699,0.03,393,2388,100,39.42,23.6388
unit_2,8/2/2016 12:00,0,-0.003,,High,518.67,642.98,1602.38,1413.38,14.62,21.56,563.4,2388.34,9103.2,1.31,47.7,531.05,2388.36,8175.06,8.2805,0.03,397,2388,100,39.31,23.6213
unit_4,3/1/2016 12:00,0,-0.0037,0.0001,High,518.67,641.93,1588,1394.77,14.62,21.59,555.09,2388.02,9058.65,1.3,47.19,523.11,2388.03,8134.58,8.3717,0.03,392,2388,100,39.16,23.4225
unit_10,7/21/2017 12:00,0,25.004,0.6208,Low,462.54,536.85,1247.82,1036.5,7.05,9.01,175.56,1915.37,8007.24,0.94,36.33,164.52,2028.19,7871.24,10.8172,0.02,307,1915,,14.54,8.6195
unit_9,1/11/2017 12:00,0,0.003,-0.0003,High,518.67,642.5,1575.07,1398.52,14.62,21.57,553.25,2387.95,9047.6,1.3,47.13,520.55,2387.95,8134.04,,0.03,391,2388,100,39,23.375
unit_1,12/20/2017 12:00,0,0.0026,0.0008,High,518.67,642.02,1582.53,1399.96,14.62,21.6,555.54,2388.07,9062.59,1.3,47.18,523.52,2388.03,8143.58,8.3624,0.03,391,2388,100,39.07,23.5167
unit_9,1/26/2017 12:00,0,-0.0006,-0.0003,High,518.67,642.07,1585.79,1396.52,14.62,21.56,552.53,,9044.9,1.3,46.96,520.48,2387.95,8135.4,8.4166,0.03,,2388,100,39.07,23.3493
unit_9,5/18/2017 12:00,0,-0.0003,0.0001,High,518.67,642.53,1587.58,1398.09,14.62,21.56,555.46,2388.04,9061.17,1.3,47.35,523.53,2388.02,8145.79,8.3608,0.03,393,2388,100,39.17,23.4214
unit_7,8/30/2015 12:00,0,-0.0012,0.0001,High,518.67,643.46,1593.98,1404.15,14.62,21.58,560.62,,9076.94,1.31,47.62,528.06,,8162.41,8.3116,0.03,393,2388,100,39.47,23.4859
unit_3,1/15/2017 12:00,0,-0.0005,-0.0003,High,518.67,642.4,1592.97,1401.56,14.62,21.57,556.78,2388.11,9059.86,1.3,,524.6,2388.1,,8.3269,0.03,394,2388,100,,23.4922
unit_10,7/10/2018 12:00,0,42.0018,0.84,High,445,549.62,1367.76,1136.48,3.91,5.69,141.74,2212.43,8376.15,1.05,42.65,133.65,2388.62,8131.47,9.1105,0.02,334,2212,100,,6.4644
unit_2,7/31/2016 12:00,0,0.0028,0.0003,High,518.67,643.23,1597.05,1408.53,14.62,21.57,563.4,2388.37,9104.13,1.31,47.72,530.69,2388.31,8172.13,8.3148,0.03,395,2388,100,39.43,23.5701
unit_3,4/14/2016 12:00,0,0.0007,,High,518.67,641.9,1583.34,1412.34,14.62,21.58,551.61,2387.54,9037.83,1.3,47.19,518.79,2387.52,8119.91,8.4592,0.03,390,2388,100,38.93,23.242
unit_2,4/29/2016 12:00,0,-0.0004,-0.0003,High,518.67,642.06,1587.34,1401.57,14.62,21.57,556.08,2388.07,9063.5,1.3,47.35,523.7,2388.03,8147.58,8.3572,0.03,393,2388,100,39.29,23.4339
unit_8,9/14/2016 12:00,0,10.0003,0.25,High,489.05,604.17,1500.57,1302.18,,15.47,396.94,2318.97,8791.98,,45.36,374.61,2388.17,8147.68,8.5742,0.03,369,2319,100,28.7,17.3341
unit_2,5/10/2015 12:00,0,-0.001,,High,518.67,641.82,1574.3,1402.16,14.62,21.57,550.79,2387.35,9036.89,1.3,47.21,,2387.46,8116.88,8.4247,0.03,389,2388,100,38.82,23.2832
unit_2,5/23/2015 12:00,0,-0.0001,-0.0001,High,518.67,641.99,1579.64,1397.87,14.62,21.57,550.35,2387.88,9034.6,1.3,46.92,518.64,2387.89,8128.2,8.46,0.03,,2388,100,38.94,23.2264
unit_4,1/23/2017 12:00,0,,0.0001,High,518.67,,1592.62,1421.49,14.62,21.57,566.89,2388.42,9116.88,1.31,47.98,534.02,2388.5,8189.65,8.2849,0.03,396,2388,100,39.51,23.76
unit_9,9/17/2016 12:00,0,0.0015,0.0002,High,518.67,641.82,1570.81,1386.91,14.62,21.57,552.15,2387.92,9042.52,1.3,47.05,,2387.9,8129.35,8.3851,0.03,391,2388,100,38.89,23.3484
unit_7,6/24/2015 12:00,0,-0.0001,-0.0004,High,518.67,641.8,1584.82,1405.28,14.62,21.58,556.66,2388.11,9064.34,1.3,47.41,524.67,2388.17,8149.49,8.319,0.03,393,2388,100,39.17,23.4961
unit_6,10/13/2016 12:00,0,-0.0016,-0.0001,High,518.67,643.55,1605.65,1423.58,14.62,21.46,562.61,2388.35,,1.31,47.96,530.87,2388.32,8183.51,8.1979,0.03,395,2388,100,39.44,23.5664
unit_8,10/26/2015 12:00,0,42.003,0.84,High,445,549.05,1340.47,1111.35,3.91,5.7,138.65,2211.96,8315.01,1.02,41.56,130.14,2387.97,8080.1,9.3099,0.02,330,2212,100,10.7,6.4722
unit_5,7/7/2015 12:00,0,35.0071,0.84,High,449.44,556.19,1378.12,1137.12,5.48,7.97,197.6,2223.5,8391.28,1.04,42.21,186.3,2388.63,,9.1257,0.02,336,2223,100,14.91,8.9644
unit_7,7/29/2015 12:00,0,0.0004,-0.0004,High,518.67,642.09,1588.77,1399.5,14.62,21.58,558.45,2388.1,9071.4,1.3,47.46,526.11,2388.08,8147.44,8.3775,0.03,393,2388,100,39.3,23.5395
unit_3,3/3/2016 12:00,0,-0.003,0.0002,High,518.67,641.89,1581.55,1397.55,14.62,21.58,551.1,2387.47,,1.3,47.1,519.51,2387.44,8122.89,8.4168,0.03,,2388,100,38.93,23.298
unit_3,8/29/2016 12:00,0,-0.0024,-0.0002,High,518.67,642.19,1575.69,1391.02,14.62,21.58,553.67,2387.97,9040.92,1.3,47.02,521.17,2387.93,8127.66,8.3659,0.03,390,2388,,38.91,23.3519
unit_5,2/24/2015 12:00,0,20.0046,0.7011,High,491.19,606.83,1476.26,1244.23,9.35,13.61,334.78,2323.89,8718.15,1.08,44.1,315.44,2388,8064.1,9.1931,0.02,365,2324,100,24.68,14.7458
unit_7,1/1/2015 12:00,0,0.0007,0.0001,High,518.67,642.09,1580.05,1394.25,14.62,21.59,554.32,2388,9053.1,1.3,47.3,521.94,2388.07,,8.3656,0.03,390,2388,100,39.13,
unit_5,12/14/2014 12:00,0,25.0048,0.621,Low,462.54,536.87,1249.05,1036.45,7.05,9,175.4,1915.33,8001.92,0.94,36.6,164.14,2028.21,7871.28,10.8355,0.02,305,1915,84.93,14.29,8.576
unit_6,7/10/2015 12:00,0,-0.0018,-0.0004,High,,641.77,1579.96,1392.3,14.62,,553.44,2387.95,9040.8,1.3,46.9,520.62,2387.93,8133.1,8.4395,0.03,390,2388,100,38.94,23.3977
unit_1,4/20/2018 12:00,0,42.0073,0.8402,High,,549.33,1348.49,1122.09,3.91,5.7,139.36,2212.06,8326.72,1.03,42,130.87,2388.17,8093.29,9.2817,0.02,,2212,100,10.93,6.3007
unit_9,3/19/2017 12:00,0,-0.0003,-0.0005,High,518.67,641.98,1584.79,1392.08,14.62,21.57,553.8,2387.99,9061.46,1.3,47.06,522.02,2387.97,8137.6,,0.03,389,2388,100,38.93,23.3318
unit_8,5/27/2016 12:00,0,35.0051,0.8408,High,449.44,554.81,1361.86,1122.93,5.48,7.99,194.63,2222.91,8349.59,1.02,41.66,183.25,2388.05,8070.3,9.2635,0.02,332,2223,100,14.91,8.994
unit_5,11/27/2014 12:00,0,,0.7,High,491.19,606.84,,1236.35,9.35,13.61,333.08,2323.75,8718.18,1.07,44.2,314.16,2387.86,8055.61,9.1931,0.02,363,2324,100,24.46,14.701
unit_3,2/4/2016 12:00,0,-0.0002,-0.0001,High,518.67,641.92,1578.15,1396.19,14.62,21.58,551.61,2387.53,9034.18,1.3,47.29,519.22,2387.51,8113.96,8.4237,0.03,391,2388,100,38.83,23.3818
unit_6,9/13/2016 12:00,0,-0.0041,0,High,518.67,642.85,1598.23,1410.04,14.62,21.48,558.95,2388.18,9086.03,1.3,47.64,526.01,2388.12,8167.43,8.3016,0.03,393,2388,100,39.19,23.4571
unit_3,3/7/2017 12:00,0,0.0021,-0.0004,High,518.67,641.9,1585.65,1411.88,14.62,21.56,559.98,2388.15,9084.51,1.31,47.59,527.14,2388.26,8159.04,8.3399,0.03,393,2388,100,39.08,
unit_10,8/19/2017 12:00,0,41.9992,0.84,High,445,549.01,1350.8,1109.73,3.91,5.7,138.73,2211.96,8321.54,1.02,41.75,129.59,2388.01,8082.58,9.3067,0.02,329,2212,100,10.61,6.3665
unit_9,12/30/2016 12:00,0,-0.0015,0.0004,High,518.67,642.04,1579.34,1391.24,14.62,21.57,552.23,2387.98,9043.93,1.3,47.13,521.11,2387.94,8137.6,8.3965,0.03,,,100,38.92,23.4287
unit_10,10/21/2017 12:00,0,0.0029,0.0019,High,518.67,642.24,1575.58,1396.78,14.62,21.58,554.83,2388,9060.88,1.3,47.12,523.55,2388.03,8134.19,8.3668,0.03,391,2388,,39.11,23.4951
unit_5,6/23/2014 12:00,0,,0.84,High,445,548.93,1345.97,1116.85,3.91,5.69,138.32,2211.89,8313.54,1.01,41.76,129.25,2388.02,8069.37,9.372,0.02,329,2212,100,10.55,6.3422
unit_7,12/11/2014 12:00,0,0.002,-0.0004,High,518.67,642.43,1578.8,1396.12,14.62,21.59,553.83,2388,9050.05,1.3,47.11,522.2,2387.99,8133.47,,0.03,392,2388,100,39.03,23.4374
unit_1,3/20/2018 12:00,0,0.0017,0,High,518.67,642.53,1587.48,1399.21,14.62,21.59,557.13,2388.07,9065.57,1.3,47.25,524.93,2388.06,8145.84,8.362,0.03,392,2388,100,39.13,23.4445
unit_10,9/22/2017 12:00,0,25.0039,0.62,Low,462.54,536.83,1260.69,,7.05,9.01,175.79,1915.36,8002.83,0.94,36.55,165.38,,7873.74,10.8363,0.02,306,1915,84.93,14.29,8.5555
unit_2,11/9/2015 12:00,0,0.0061,0.0003,High,518.67,642.26,1574.34,1391.5,14.62,21.57,552.89,2387.94,9049.14,1.3,,520.07,2387.9,8127.42,8.3976,0.03,389,2388,100,38.84,23.409
unit_6,2/6/2016 12:00,0,-0.0011,0.0006,High,518.67,,1581.59,1400.69,14.62,21.56,552.18,,9048.58,1.3,46.87,520.5,2387.92,8130.82,8.386,0.03,390,2388,100,39.03,23.4735
unit_10,10/16/2017 12:00,0,20.0044,0.701,High,491.19,607.33,1477.39,1241.28,9.35,13.61,334.09,2323.88,8722.39,1.08,44.11,315,,8066.38,9.1454,0.02,363,2324,100,24.7,14.7815
unit_7,11/15/2014 12:00,0,-0.001,,High,518.67,641.83,1583.56,1395.33,14.62,21.59,554.61,2387.94,9047.52,1.3,47.06,521.8,2387.97,8134.04,8.3709,0.03,392,2388,100,38.82,23.3917
unit_6,5/17/2016 12:00,0,-0.0014,0.0004,High,518.67,641.4,1581.99,1396.05,14.62,21.54,552.53,2387.88,9050.13,1.3,47.23,520.91,2387.9,8134.81,8.3646,0.03,393,2388,,39.01,23.3809
unit_7,5/10/2015 12:00,0,-0.0027,-0.0001,High,518.67,642.68,,1399.42,14.62,21.58,555.67,2388.03,9058.57,1.3,47.07,524.04,2388.02,8144.92,8.3296,0.03,389,2388,100,39.03,23.3465
unit_7,6/26/2015 12:00,0,-0.0026,0.0002,High,518.67,642.21,1585.37,1398.72,14.62,21.58,556.92,2388.13,9064.42,1.3,47.39,524.83,2388.06,8148.33,8.3555,0.03,391,2388,100,39.03,23.5124
unit_3,4/5/2016 12:00,0,0.0001,-0.0002,High,518.67,,1576.2,1400.39,14.62,21.58,551.1,2387.64,9032.6,1.3,47.25,519.38,2387.62,8121.66,8.426,0.03,390,2388,100,38.77,23.2743
unit_3,3/6/2016 12:00,0,0.0024,0.0004,High,518.67,,1578.81,1404.56,14.62,21.58,551.29,2387.38,9027.17,1.3,,519.1,2387.37,8120.21,8.4561,0.03,391,2388,100,38.84,23.2577
unit_3,3/25/2016 12:00,0,-0.0028,-0.0002,High,518.67,642.18,1582.39,1395.22,14.62,,550.83,2387.37,9039.55,1.3,47.04,519.19,2387.37,8118.03,8.4302,0.03,389,2388,100,38.87,23.355
unit_5,1/24/2015 12:00,0,0.0009,0,High,518.67,641.87,1582.18,1397.61,14.62,21.57,554.59,2387.97,9047.61,1.3,47.19,522.77,2387.99,8134.68,8.4079,0.03,391,2388,100,39.05,23.4505
unit_6,7/9/2016 12:00,0,0.0035,0,High,518.67,642.43,1588.93,1403.25,14.62,21.52,554.4,2387.99,,1.3,47.41,522.53,2387.97,8144.52,8.3685,0.03,390,2388,100,38.89,23.4409
unit_4,10/16/2016 12:00,0,,0,High,518.67,642.57,1593.64,1408.35,14.62,21.57,557.9,2388.13,9074.83,1.3,,526.17,2388.04,8147.4,8.3272,0.03,394,2388,100,39.34,
unit_1,4/19/2018 12:00,0,42.0055,0.8405,High,445,548.81,1353.86,,3.91,5.7,139.51,2212.07,8332.2,1.03,41.98,131.12,2388.17,8095.83,9.2538,0.02,331,2212,100,10.63,6.2195
unit_10,11/19/2017 12:00,0,35.003,,High,449.44,554.98,1366.92,1117.71,5.48,7.98,,2222.96,8351.54,1.02,41.62,183.29,2388.06,8062.78,9.2769,0.02,333,2223,100,14.86,8.8846
unit_6,7/27/2015 12:00,0,0.0027,0.0002,High,518.67,641.33,1581.18,1389.75,14.62,,552.35,2387.96,9046.96,1.3,46.78,520.57,2387.95,8129.93,8.42,0.03,391,2388,,39.08,23.3416
unit_10,3/9/2018 12:00,0,20.001,0.7,High,491.19,607.07,1482.56,1248.59,9.35,13.61,336.64,2323.98,8731.7,1.08,44.17,315.99,2388.12,8076.92,9.1243,0.02,366,2324,100,24.26,14.7839
unit_7,5/12/2015 12:00,0,0.0017,,High,518.67,641.67,1591.07,1396.02,14.62,21.58,555.59,2387.99,9051.89,1.3,47.17,523.05,2388.01,8143.53,8.3438,0.03,392,2388,100,39.19,23.4314
unit_2,4/6/2016 12:00,0,,-0.0002,High,518.67,641.62,1589.07,1396.48,14.62,21.57,555.53,2388.01,9061.81,1.3,47.27,522.95,,8143.61,8.3434,0.03,390,2388,100,39.07,23.5402
unit_8,9/26/2016 12:00,0,19.9986,0.7002,High,491.19,607.27,1482.33,1246.55,9.35,13.63,,2324.11,8731.28,1.08,44.4,317.16,2388.21,,9.1294,0.02,364,2324,100,,14.8906
unit_1,6/9/2017 12:00,0,35.0069,,High,449.44,555.41,1365.88,1121.47,,7.99,195.09,2222.93,8350.54,1.03,41.89,183.53,,8076.89,9.2613,0.02,333,2223,,14.97,8.8293
unit_2,7/6/2015 12:00,0,-0.0004,-0.0003,High,518.67,642.28,1576.18,1406.02,14.62,21.57,550.25,2387.93,9035.46,1.3,47.03,519.54,2387.85,8123.16,8.4457,0.03,389,2388,100,38.78,23.4511
unit_1,5/23/2017 12:00,0,24.9987,0.6207,Low,462.54,536.75,1257.97,1038.57,7.05,9.02,175.8,1915.41,8009.99,0.94,36.36,164.74,2028.22,7870.24,10.843,0.02,305,1915,84.93,14.46,8.6517
unit_6,11/13/2015 12:00,0,-0.0029,-0.0003,High,518.67,642.01,1580.84,1393.13,14.62,21.58,552.57,2387.94,9042.87,1.3,46.94,519.94,2387.94,8125.71,8.3761,,390,2388,100,38.78,23.3955
unit_3,4/15/2017 12:00,0,0.001,0.0001,High,518.67,643.2,1598.75,1422.44,14.62,21.57,563.93,2388.34,9114.3,1.31,47.86,532.27,2388.44,8177.41,8.2872,0.03,393,2388,100,39.51,23.6574
unit_2,3/21/2016 12:00,0,-0.0007,0.0002,High,,642.08,1574.96,1394.01,14.62,21.57,554.15,2388.02,9058.35,1.3,47.03,522.71,2388.03,8139.47,8.4043,,392,2388,100,39.04,23.5297
unit_1,8/25/2017 12:00,0,35.0031,0.8403,High,449.44,555.33,1358.64,1124.76,5.48,7.99,,2222.96,8351.8,1.02,41.66,183.28,2388.07,8065.82,9.2553,0.02,334,2223,100,15,8.948
unit_2,1/22/2016 12:00,0,,-0.0003,High,,642.13,1582.85,1393.74,14.62,21.57,552.84,2387.95,9042.11,1.3,47.01,521.28,2387.92,8134.68,8.3839,,391,2388,100,39.15,23.3887
unit_8,10/1/2016 12:00,0,42.0014,0.84,High,445,549.02,1350.07,1125.16,3.91,5.7,140.09,2212.14,8332.45,1.03,42.24,131.52,2388.17,8101.57,9.253,0.02,330,2212,100,10.7,6.4186
unit_7,9/7/2014 12:00,0,-0.0009,0.0003,High,518.67,642.33,1586.76,1398.67,14.62,21.6,553.96,2388,9050.43,1.3,47.13,522.13,2388.05,,8.3852,0.03,392,2388,100,38.87,23.4989
unit_2,6/6/2015 12:00,0,0.0025,-0.0002,High,518.67,642.38,1582.57,1397.42,14.62,21.57,550.82,2387.44,9044.78,1.3,47.25,518.41,2387.53,8123.62,8.4285,0.03,390,,100,38.84,23.2503
unit_7,9/30/2015 12:00,0,0.0033,0.0001,High,518.67,643.35,1592.93,,14.62,,563.25,2388.3,9103.44,1.31,47.78,530.86,2388.27,8173.39,8.2605,0.03,395,2388,100,39.56,23.604
unit_1,8/9/2017 12:00,0,,0.84,High,449.44,555.36,1365.72,1123.25,5.48,7.99,194.96,2222.94,,1.02,41.64,184.02,,8063.26,9.2361,0.02,332,2223,100,14.89,8.8721
unit_5,6/15/2014 12:00,0,20.0071,0.7008,High,491.19,606.87,1477.15,1235.94,9.35,13.61,332.54,2323.69,8711.06,1.07,43.89,313.23,2387.85,8052.68,9.2263,0.02,,2324,100,24.42,14.6022
unit_3,1/20/2017 12:00,0,-0.0008,0,High,,642.72,,1405.83,14.62,21.57,556.11,2388.04,9062.41,1.3,47.28,524.34,2388.07,8144.07,8.3188,0.03,393,2388,100,39.17,23.4969
unit_1,2/20/2018 12:00,0,0.0022,,High,518.67,642.53,1589.64,,14.62,21.59,556.48,2388.07,9063.32,1.3,47.28,523.95,2388.09,8141.05,8.3658,0.03,393,2388,100,39.19,23.4872
unit_5,10/29/2014 12:00,0,35.0034,0.84,High,449.44,555.13,1362.99,1121.2,5.48,7.97,193.25,2222.84,8340.59,1.02,41.64,182.48,2387.9,8060.99,9.3066,0.02,333,2223,100,14.83,8.9382
unit_5,6/2/2014 12:00,0,10.0005,0.2501,High,489.05,604.56,1491.3,1293.88,10.52,15.46,393.58,2318.68,8760.89,1.26,44.85,370.02,2387.82,8119.54,8.595,0.03,367,2319,100,,17.152
unit_7,10/4/2014 12:00,0,-0.0005,-0.0001,High,,641.91,1585.15,1394.32,14.62,21.59,554.16,2387.95,9048.32,1.3,47.1,521.57,2387.93,8134.18,8.3789,0.03,391,2388,100,38.98,23.455
unit_7,9/21/2014 12:00,0,0.0026,-0.0001,High,518.67,642.04,1587.37,1389.24,,21.59,554.69,2387.97,9049.7,1.3,47.04,522.25,2387.98,8131.76,8.3358,0.03,392,2388,100,39.12,23.3234
unit_5,4/18/2014 12:00,0,25.0071,0.62,,462.54,536.48,1255.12,1039.09,7.05,9,174.57,1915.24,,0.93,36.31,163.62,2028.13,7862.16,10.8853,0.02,304,1915,84.93,14.31,8.5053
unit_2,5/24/2016 12:00,0,0.0017,-0.0005,High,518.67,,1597.54,1404.89,14.62,21.57,557.49,2388.12,9074.96,1.3,47.15,525.31,2388.11,8148.56,8.3121,0.03,392,2388,100,39.05,23.5595
unit_9,12/17/2016 12:00,0,0.0022,-0.0004,High,518.67,641.58,1584.09,1391.02,14.62,21.57,552.43,2387.95,9042.33,1.3,46.88,520.19,2387.97,8134.67,8.3907,0.03,390,2388,100,38.87,23.2927
unit_1,8/13/2017 12:00,0,10.006,0.2502,,489.05,605.03,1491.5,,10.52,15.48,,2318.85,,1.26,45,372.07,2388.03,8134.53,8.599,0.03,368,2319,100,28.73,17.2586
unit_5,5/14/2015 12:00,0,25.0068,0.62,Low,462.54,536.92,1261.54,1051.6,7.05,9,176.87,1915.55,8023.33,0.94,36.65,165.97,2028.44,7888.34,10.8088,0.02,306,1915,84.93,14.35,8.6195
unit_9,10/19/2016 12:00,0,0.0018,,High,518.67,641.67,1585.35,1395.41,,21.57,552.65,2387.95,9043.26,1.3,46.99,520.4,2387.88,8130.32,8.4036,0.03,391,2388,,38.91,23.3821
unit_7,3/19/2015 12:00,0,0.0018,0.0004,High,518.67,641.76,1581.11,1397.54,14.62,21.59,554.99,2387.98,9061.4,1.3,47.2,522.8,2387.96,8135.64,8.3809,0.03,391,2388,100,39.07,23.3802
unit_5,6/21/2015 12:00,0,10.0005,0.2512,High,489.05,604.73,1501.77,1313.92,10.52,15.46,400.77,2319.29,8811.72,1.27,45.56,377.61,2388.47,8165.43,8.4947,0.03,371,2319,100,29.09,17.3767
unit_1,12/8/2017 12:00,0,42.0075,0.8401,High,445,549.53,1351.2,1119.3,3.91,5.7,138.44,2212,8319.52,1.02,41.75,130.56,2388.08,8083.96,9.2951,0.02,330,2212,100,10.75,6.4391
unit_8,6/27/2016 12:00,0,34.9986,0.8411,High,,554.66,1364.6,1115.26,5.48,7.99,195.3,2222.98,8343.28,1.03,41.53,183.55,2388.03,,9.2682,0.02,333,2223,100,14.8,8.9478
unit_4,1/29/2016 12:00,0,0.0062,0.0003,High,518.67,642.15,1585.73,1399.77,14.62,21.59,555.33,2388.03,9057.14,1.3,47.25,522.85,2388.01,8134.39,8.3972,0.03,391,2388,100,39.16,23.4347
unit_1,10/15/2017 12:00,0,10.0043,0.25,High,489.05,604.41,1497.51,1304.29,10.52,15.48,396.18,2318.83,8778.93,,45.08,372.78,2388.04,8132.91,8.5816,0.03,368,2319,100,28.78,17.3216
unit_8,4/12/2016 12:00,0,42.0061,0.84,High,445,549.16,,1114.33,3.91,5.7,138.37,2211.93,8315.04,1.02,41.71,130.76,2388,8080.29,9.3415,0.02,328,2212,100,10.61,6.3302
unit_3,1/30/2016 12:00,0,0.0037,-0.0002,High,518.67,642.07,1573.59,1395.58,,21.59,551.3,2387.5,9037.94,1.3,47.12,519.32,2387.56,8120.12,8.4611,0.03,390,2388,100,38.85,23.3284
unit_10,6/27/2018 12:00,0,19.9984,0.7,High,491.19,607.84,1495.5,1263.99,9.35,13.61,,2324.58,8777.57,1.09,44.77,321.83,2388.68,8095.83,9.0462,0.03,368,2324,100,24.93,14.984
unit_4,9/12/2016 12:00,0,0.0008,-0.0001,High,518.67,642.11,1590.04,1402.61,14.62,21.58,557.25,2388.13,9073.03,1.3,47.29,525.31,2388.1,8154.71,8.3096,0.03,392,,100,39.17,23.6081
unit_9,12/10/2016 12:00,0,,-0.0002,High,518.67,641.81,1584.89,1394.15,14.62,21.57,553.14,2387.93,9044.74,1.3,47.18,520.99,2387.92,8133.47,8.419,0.03,391,2388,100,38.75,23.3718
unit_5,1/18/2015 12:00,0,,0.0017,High,518.67,641.34,1581.49,1392.67,14.62,21.58,554.5,2388,9058.41,1.3,47.22,522.31,2387.96,8137.07,8.3827,0.03,392,2388,100,39.06,23.3979
unit_9,5/9/2017 12:00,0,0.0028,0.0002,High,518.67,642.6,,1395.56,14.62,21.56,555.02,2388.01,9056.55,1.3,47.04,522.21,2387.95,8141.82,8.3733,0.03,392,,100,39.03,23.3655
unit_4,5/17/2016 12:00,0,-0.0001,-0.0001,High,518.67,641.95,1582.75,1398.57,14.62,21.59,555.01,2388.04,9061.14,,47.13,523.56,2388.09,8143.42,8.3911,0.03,393,2388,100,39.02,23.3906
unit_3,6/30/2016 12:00,0,-0.0027,,High,518.67,641.88,1582.75,1390.87,14.62,,552.7,2387.94,9037.95,1.3,46.9,,2387.96,8131.79,8.3275,0.03,390,2388,100,38.78,23.3875
unit_5,4/7/2015 12:00,0,10.0065,0.2512,High,489.05,603.93,1493.17,1295.4,10.52,15.46,396.48,2318.88,8787.04,1.26,45.17,373.25,2388.15,8139.6,8.5813,0.03,369,2319,100,28.67,17.262
unit_5,1/5/2015 12:00,0,20.0068,0.7007,High,491.19,607.06,1478.23,1243.62,9.35,13.6,333.52,2323.75,8717.56,1.07,44.04,313.86,2387.89,8050.59,9.1632,0.02,364,2324,100,24.52,14.6489
unit_8,1/4/2016 12:00,0,35.0001,0.84,High,449.44,554.96,1363.05,1121.36,5.48,7.98,193.48,2222.85,8333.27,1.02,41.55,182.59,2387.92,8066.68,,0.02,332,2223,100,14.9,8.9652
unit_4,3/29/2016 12:00,0,0.0028,-0.0005,High,518.67,642.64,,1395.07,14.62,21.58,555.15,2388.03,9063,1.3,47.15,523.04,2388.02,8140.33,8.3663,0.03,390,2388,100,39.16,23.3555
unit_4,9/22/2016 12:00,0,0.0009,-0.0002,High,518.67,642.66,1586.22,1402.1,14.62,21.58,558.44,2388.08,9075.24,1.3,,525.31,2388.07,8148.21,8.3482,0.03,392,2388,100,39.16,23.5902
unit_4,10/29/2016 12:00,0,0.0035,-0.0003,High,518.67,642.23,1590.09,1403.87,14.62,21.57,559.56,2388.16,9075.36,,47.43,527.35,2388.15,8156.75,8.3041,0.03,393,2388,100,39.27,23.5689
unit_7,9/20/2015 12:00,0,0.0009,0,High,518.67,643.18,1597.55,1417,14.62,21.58,563.12,2388.3,9090.51,1.31,47.7,530.23,2388.31,8169,8.2805,0.03,395,2388,100,39.31,23.6229
unit_10,5/30/2018 12:00,0,42.0018,0.84,High,445,549.46,1355.5,1131.45,,5.69,140.5,2212.3,8354.76,1.04,42.19,,2388.38,8112.04,9.2162,0.02,330,2212,100,10.63,6.4425
unit_9,7/24/2016 12:00,0,-0.002,0.0002,High,518.67,641.92,1585.29,1391.05,14.62,21.57,552.4,2387.99,9049.79,,47.12,521.1,2387.89,8131.18,8.3847,0.03,390,,100,,23.3981
unit_7,6/11/2015 12:00,0,-0.0005,-0.0003,High,518.67,642.06,1580.26,,,21.58,555.98,2388.04,9060.91,1.3,47.11,523.59,2388.05,8135.06,8.3686,0.03,393,2388,100,39.01,23.4862
unit_2,3/22/2016 12:00,0,-0.0002,0.0004,High,518.67,641.58,1590.42,1392.74,,21.57,554.66,2388.01,9057.05,1.3,47.2,522.79,2388.01,8140.05,8.425,0.03,392,2388,100,39.06,
unit_5,7/21/2014 12:00,0,35.0057,,High,449.44,554.86,1353.14,1116.42,5.48,7.97,192.66,2222.71,8332.25,1.02,41.45,181.63,2387.84,8056.2,9.3267,0.02,332,2223,100,14.84,8.8763
unit_4,4/11/2016 12:00,0,0.0006,0.0001,High,518.67,641.74,1577.71,1398.59,14.62,21.58,555.06,2388.03,9056.44,1.3,47.27,523.08,2388.01,8142.49,8.3626,0.03,393,2388,100,39,23.5356
